# Which files in this corpus reach which extractor, and with how many items.
#
# Generated: cargo run --release --example seed_reach_manifest
# Consumed:  scripts/prep-fuzz-corpus.sh, to pick seeds by whether they reach a
#            verifier rather than by filename order.
# Checked:   tests/fuzz_input_reach.rs re-measures this and fails if it is stale.
#
# Files reaching no extractor are omitted, so `files scanned` and `files listed`
# differ; both are stated because their difference is the thing worth seeing.
# corpus: orchard_v5_nu6_2
# files scanned: 250
# files listed: 250
#
# file	orchard	sapling	redjubjub	sprout
v5_3366672_b0aa1cb3411aabc6.bin	1	1	4	0
v5_3366677_be6b3b37b8847cd9.bin	1	0	0	0
v5_3366682_deae1168a3497c3f.bin	1	0	0	0
v5_3366687_3fc0af97dffc75e7.bin	1	0	0	0
v5_3366694_15677fe59ca97d11.bin	1	0	0	0
v5_3366698_518ba54eae834eb9.bin	1	0	0	0
v5_3366699_8548a67d1392b314.bin	1	0	0	0
v5_3366705_920f9f0d633372f9.bin	1	0	0	0
v5_3366714_7e8d55361a55f630.bin	1	0	0	0
v5_3366718_6422361be0adad50.bin	1	0	0	0
v5_3366722_f2d438d6907c9bd0.bin	1	0	0	0
v5_3366728_779942ceb80aca1b.bin	1	0	0	0
v5_3366737_a9042099f73f7de8.bin	1	0	0	0
v5_3366742_07f793e7d7391c69.bin	1	0	0	0
v5_3366744_6949fdfc8da2d09d.bin	1	0	0	0
v5_3366751_c225509f602fbbb9.bin	1	0	0	0
v5_3366754_9adbda02b6e9f04e.bin	1	0	0	0
v5_3366757_ee7061ed95f8207f.bin	1	0	0	0
v5_3366762_c9de5e72f7c40de7.bin	1	0	0	0
v5_3366767_55c04ef269b75cdb.bin	1	0	0	0
v5_3366767_dcd589ea9c1e1474.bin	1	0	0	0
v5_3366773_1c03beadef741824.bin	1	0	0	0
v5_3366784_62bc06f66ddc5a4a.bin	1	0	0	0
v5_3366788_dfe130eb2084aa27.bin	1	0	0	0
v5_3366796_792f095543f42df0.bin	1	0	0	0
v5_3366800_89586b7e20036889.bin	1	0	0	0
v5_3366804_9d812c18a3f167cb.bin	1	0	0	0
v5_3366812_cc5b4de6d4f81374.bin	1	0	0	0
v5_3366816_b2c15b8036f61c67.bin	1	0	0	0
v5_3366824_9db65ed9ccc9f0ad.bin	1	0	0	0
v5_3366830_3f5501d047714d13.bin	1	0	0	0
v5_3366833_0ee982a2cacaff3b.bin	1	0	0	0
v5_3366835_46a2d694ed8a4905.bin	1	0	0	0
v5_3366836_505b748dde1ffeb2.bin	1	0	0	0
v5_3366840_91945a9f5559f2b8.bin	1	0	0	0
v5_3366842_5e62a6728d41e857.bin	1	0	0	0
v5_3366845_3e7141b4a75c3c41.bin	1	0	0	0
v5_3366845_fbfe7b4924fab811.bin	1	0	0	0
v5_3366850_a31a74444c9ee364.bin	1	0	0	0
v5_3366856_84418b58d0474a81.bin	1	0	0	0
v5_3366862_7b9834453a306718.bin	1	0	0	0
v5_3366866_fb1d58aa97d3d767.bin	1	0	0	0
v5_3366873_968f268921ebefe1.bin	1	0	0	0
v5_3366881_d3b53f90dd07f7fe.bin	1	0	0	0
v5_3366885_f88c79d3f1ec3511.bin	1	0	0	0
v5_3366888_949e9bc81034f755.bin	1	0	0	0
v5_3366892_c9bf55723120448b.bin	1	0	0	0
v5_3366906_3d4073b29e2d1a9c.bin	1	0	0	0
v5_3366913_a2f9fd97f523f8e6.bin	1	0	0	0
v5_3366921_e09e1b0fa389cc20.bin	1	0	0	0
v5_3366927_152061130045f904.bin	1	0	0	0
v5_3366934_40fda475d92e018b.bin	1	0	0	0
v5_3366938_0b48e3c1f4fe41ad.bin	1	0	0	0
v5_3366941_17506d1ac7a74319.bin	1	0	0	0
v5_3366948_ca48084ddb906351.bin	1	0	0	0
v5_3366954_d37111027c67ef7e.bin	1	1	3	0
v5_3366957_25fe4ad0c85db7b3.bin	1	0	0	0
v5_3366967_fa0993bdfddbee73.bin	1	0	0	0
v5_3366974_f8743ab65216b4a8.bin	1	0	0	0
v5_3366976_915adf7b79471d54.bin	1	0	0	0
v5_3366978_9fe94d8fc28dfcb2.bin	1	0	0	0
v5_3366982_7c7d173478d5b65b.bin	1	0	0	0
v5_3366984_cf7fd7a94e8ca3e5.bin	1	0	0	0
v5_3366990_29e5c36a2d7dace3.bin	1	0	0	0
v5_3366992_b592a3db2e6a714a.bin	1	0	0	0
v5_3366996_756e6925dae27a9a.bin	1	0	0	0
v5_3366999_8b596068661414ef.bin	1	0	0	0
v5_3367005_5819beb4ea6722e0.bin	1	0	0	0
v5_3367008_2793556050672e9c.bin	1	0	0	0
v5_3367014_223163d64b2c0ab2.bin	1	0	0	0
v5_3367020_1a351a0ecaf9c2b7.bin	1	0	0	0
v5_3367025_3fb82ea2379d0cad.bin	1	0	0	0
v5_3367031_b4787db3ce27d410.bin	1	0	0	0
v5_3367035_4334bcf4ea03e0b5.bin	1	0	0	0
v5_3367039_3bc467a47b2c3a6b.bin	1	0	0	0
v5_3367045_422b2a4881c59b06.bin	1	0	0	0
v5_3367047_b31c5ba0a93be720.bin	1	0	0	0
v5_3367050_d2255c9fe195ff1e.bin	1	0	0	0
v5_3367054_8958a14f1b2f61bf.bin	1	0	0	0
v5_3367060_2a720054785ac5b9.bin	1	0	0	0
v5_3367068_78c08946b97fb242.bin	1	0	0	0
v5_3367075_7cea9b77c867ffde.bin	1	0	0	0
v5_3367079_8314d7eb475a0876.bin	1	0	0	0
v5_3367083_a3326efc9f981e9f.bin	1	0	0	0
v5_3367091_8fce913e3fa8a7d1.bin	1	0	0	0
v5_3367105_e85c3acb9f0384ea.bin	1	0	0	0
v5_3367111_6c5e436a82f11efc.bin	1	0	0	0
v5_3367122_503dfc79bfc5074d.bin	1	0	0	0
v5_3367128_04164a10f9288c87.bin	1	0	0	0
v5_3367129_b5a7c2452eb9e19d.bin	1	0	0	0
v5_3367138_084abaa4b2e86263.bin	1	0	0	0
v5_3367147_51574b66497114d4.bin	1	0	0	0
v5_3367158_058c26cdf8e3efb5.bin	1	0	0	0
v5_3367164_27923981fb7ed026.bin	1	0	0	0
v5_3367171_baa3d3fe0944ed8a.bin	1	0	0	0
v5_3367183_a83af78b7f2682ec.bin	1	0	0	0
v5_3367190_ef758811a4ab483a.bin	1	0	0	0
v5_3367199_2b7b815ced84b829.bin	1	0	0	0
v5_3367202_17d908c43ac425d3.bin	1	0	0	0
v5_3367207_3399557a0e4b7734.bin	1	0	0	0
v5_3367214_c2133cc0dcec7389.bin	1	0	0	0
v5_3367221_7b833849d8d48091.bin	1	0	0	0
v5_3367225_7e5f2f4c7c5fc652.bin	1	0	0	0
v5_3367237_93b9252954194676.bin	1	0	0	0
v5_3367241_324bd75461515824.bin	1	0	0	0
v5_3367248_8536ba8a1c425f18.bin	1	0	0	0
v5_3367251_9e8fbb451fa1df1b.bin	1	0	0	0
v5_3367253_490ca1a0e6990398.bin	1	0	0	0
v5_3367262_475b97cdfad4eabf.bin	1	0	0	0
v5_3367266_d6afdd1c9129a48c.bin	1	0	0	0
v5_3367270_fc5d7012d0e516b1.bin	1	0	0	0
v5_3367277_3689e930b82fcc01.bin	1	0	0	0
v5_3367283_b9e6edd6a23641af.bin	1	0	0	0
v5_3367288_914061aed79658c0.bin	1	0	0	0
v5_3367294_5af61895c8875a07.bin	1	0	0	0
v5_3367298_e8ea3275ee714344.bin	1	0	0	0
v5_3367307_04153ab10a8fd976.bin	1	0	0	0
v5_3367311_10e568362522491c.bin	1	0	0	0
v5_3367316_8fb5c7ed8a4d3cba.bin	1	0	0	0
v5_3367321_ede5fadf20df40ed.bin	1	0	0	0
v5_3367328_8469a80f250415d2.bin	1	1	1	0
v5_3367333_f7f1f26d4d564bcd.bin	1	0	0	0
v5_3367342_370e91afb8f397cd.bin	1	0	0	0
v5_3367349_d848a327b77e54c1.bin	1	0	0	0
v5_3367354_5c16421a53af687d.bin	1	0	0	0
v5_3367361_a3369bc3940e8749.bin	1	0	0	0
v5_3367366_2f59e18d840bd5f7.bin	1	0	0	0
v5_3367370_cd71f736152dfd3e.bin	1	0	0	0
v5_3367378_53a43cc5d4b44ed9.bin	1	0	0	0
v5_3367385_f4aecfab1427143a.bin	1	0	0	0
v5_3367398_04c1e2c9153e1951.bin	1	0	0	0
v5_3367405_8755d33e70f6dddb.bin	1	0	0	0
v5_3367409_efc9083e098d5577.bin	1	0	0	0
v5_3367421_f651f15093b42f3d.bin	1	0	0	0
v5_3367434_1b0460522a738116.bin	1	0	0	0
v5_3367437_76582fea2c52cce9.bin	1	0	0	0
v5_3367450_69fbc20a68d0a2b9.bin	1	0	0	0
v5_3367456_6286aadbef020b15.bin	1	0	0	0
v5_3367466_d6677964e20b9324.bin	1	0	0	0
v5_3367474_fd1dc5715f70f8df.bin	1	0	0	0
v5_3367488_09ba941614b3caa4.bin	1	0	0	0
v5_3367500_354bb7a6477d9e9f.bin	1	0	0	0
v5_3367506_6f177edc40b71749.bin	1	0	0	0
v5_3367512_c0eb5e3f7decb6e3.bin	1	0	0	0
v5_3367522_c7a2f347a23df4df.bin	1	0	0	0
v5_3367529_4107d6e0130aafb4.bin	1	0	0	0
v5_3367538_fdc8a4e3b553cf0a.bin	1	0	0	0
v5_3367547_5c2310e3a3d075e1.bin	1	0	0	0
v5_3367554_e005341be692ee2b.bin	1	0	0	0
v5_3367563_935ff5a83070d771.bin	1	0	0	0
v5_3367578_b90770381a80a35a.bin	1	0	0	0
v5_3367585_7f04550740a6033f.bin	1	0	0	0
