# Which files in this corpus reach which extractor, and with how many items.
#
# Generated: cargo run --release --example seed_reach_manifest
# Consumed:  scripts/prep-fuzz-corpus.sh, to pick seeds by whether they reach a
#            verifier rather than by filename order.
# Checked:   tests/fuzz_input_reach.rs re-measures this and fails if it is stale.
#
# Files reaching no extractor are omitted, so `files scanned` and `files listed`
# differ; both are stated because their difference is the thing worth seeing.
# corpus: orchard_v5_pre_nu6_2
# files scanned: 550
# files listed: 210
#
# file	orchard	sapling	redjubjub	sprout
v5_3300823_98de7f7a71a252d4.bin	1	0	0	0
v5_3300836_cb4da31e43d667d7.bin	1	0	0	0
v5_3300849_237a73256efe375c.bin	1	0	0	0
v5_3300861_722ac521380a03c1.bin	1	0	0	0
v5_3300873_6f08f8cf50fbc8e9.bin	1	0	0	0
v5_3300887_aa3c4db1a3f99932.bin	1	0	0	0
v5_3300916_54409330ada161d0.bin	1	0	0	0
v5_3300921_4f1253fe3ce7be04.bin	1	0	0	0
v5_3300926_9ebe130baa28e1fe.bin	1	0	0	0
v5_3300932_e2e6576f13c721d7.bin	1	0	0	0
v5_3300935_8f466e3c29d7c54d.bin	1	0	0	0
v5_3300949_46627ecb92a8cab5.bin	1	0	0	0
v5_3300966_417cb9ff6ecbcb32.bin	1	0	0	0
v5_3300994_29fcd79dcc836676.bin	1	0	0	0
v5_3301012_02a256f9df7fa625.bin	1	0	0	0
v5_3301034_a6413a4f51ccf5ef.bin	1	0	0	0
v5_3301053_8e43254af36d7cc1.bin	1	1	2	0
v5_3301059_826d198d0d211b91.bin	1	0	0	0
v5_3301087_9fe8b37aa471d34b.bin	1	0	0	0
v5_3301114_0fd1c8f2190eac5f.bin	1	0	0	0
v5_3301125_123a5ef9075e4a64.bin	1	0	0	0
v5_3301132_9eadcac17e084554.bin	1	0	0	0
v5_3301143_826b3d1b10007342.bin	1	0	0	0
v5_3301162_0cba4d370c2076d3.bin	1	0	0	0
v5_3301197_55b626d073a962cc.bin	1	0	0	0
v5_3301204_d428afb059008ff6.bin	1	0	0	0
v5_3301219_e5de5e3f02c26d15.bin	1	0	0	0
v5_3301227_d57debcd3dd3f80a.bin	1	0	0	0
v5_3301237_8557b3afa7308d5c.bin	1	0	0	0
v5_3301246_54203bdb41091ebe.bin	1	0	0	0
v5_3301259_2039ef7058496140.bin	1	0	0	0
