# Which files in this corpus reach which extractor, and with how many items.
#
# Generated: cargo run --release --example seed_reach_manifest
# Consumed:  scripts/prep-fuzz-corpus.sh, to pick seeds by whether they reach a
#            verifier rather than by filename order.
# Checked:   tests/fuzz_input_reach.rs re-measures this and fails if it is stale.
#
# Files reaching no extractor are omitted, so `files scanned` and `files listed`
# differ; both are stated because their difference is the thing worth seeing.
# corpus: historical_419200_1046400
# files scanned: 2032
# files listed: 491
#
# file	orchard	sapling	redjubjub	sprout
v4_0449700_cd576a82b432c9fb.bin	0	0	0	1
v4_0450200_ae5c05b29e0b5a28.bin	0	0	0	1
v4_0450950_1fb58ee437054bee.bin	0	0	0	1
v4_0450950_b8ab9b5ba9f46b17.bin	0	0	0	1
v4_0451450_30d6e901c7ad80ec.bin	0	0	0	1
v4_0451950_3f6554f21d91e15a.bin	0	0	0	1
v4_0451950_a35a91e5c939fb9c.bin	0	0	0	1
v4_0452700_852bbd64f324f04d.bin	0	0	0	1
v4_0453200_0b26c8a7f7d1b128.bin	0	0	0	1
v4_0453200_d0e36d4f3ad96bf0.bin	0	0	0	1
v4_0453950_3ab8823ab8a94810.bin	0	0	0	1
v4_0453950_dfffe2a0c0fe8836.bin	0	0	0	1
v4_0454450_645e60d221b932af.bin	0	0	0	1
v4_0454450_67939e8ac267f3ca.bin	0	0	0	1
v4_0454450_965e39fba2de335d.bin	0	0	0	1
v4_0454450_f61f2e861a78d631.bin	0	0	0	1
v4_0454700_a23f25f1a6ccdb83.bin	0	0	0	1
v4_0456950_819ea14ab1dd3aa7.bin	0	0	0	1
v4_0456950_858c571f9637403c.bin	0	0	0	1
v4_0457200_096bcb87c3f12263.bin	0	0	0	1
v4_0457200_b1e67f82f8156b23.bin	0	0	0	1
v4_0457200_d042bfcb4ed560c7.bin	0	0	0	1
v4_0457450_39f59d78ec360776.bin	0	0	0	1
v4_0457450_ab7e2d40aff8eb2b.bin	0	0	0	1
v4_0457450_c0673b75109cfd68.bin	0	0	0	1
v4_0457450_d98aca6fabced2c4.bin	0	0	0	1
v4_0457950_2721e2ac1d7075ae.bin	0	0	0	1
v4_0457950_c7f19b78edf7ebd1.bin	0	0	0	1
v4_0458950_226128243e3b8ec2.bin	0	0	0	1
v4_0458950_df442b491a705932.bin	0	0	0	1
v4_0459450_d22ceca25e1752a7.bin	0	0	0	1
v4_0460450_277a40be7ef8744b.bin	0	0	0	1
v4_0460950_46098983de017f9c.bin	0	0	0	1
v4_0460950_885d7f4812a3cf70.bin	0	0	0	1
v4_0460950_ae62b1d837ccd239.bin	0	0	0	1
v4_0460950_b3b20bdf7d42db03.bin	0	0	0	39
v4_0461450_a17c037311212d48.bin	0	0	0	1
v4_0461450_f5c6233a604071eb.bin	0	0	0	1
v4_0462200_f5c9dae1161599fa.bin	0	0	0	1
v4_0463950_7c2d0d717ac31c0c.bin	0	0	0	1
v4_0464200_9cf23161564a11a9.bin	0	0	0	1
v4_0464950_3979ddb48c178f39.bin	0	0	0	1
v4_0464950_bb8e0b0d7693db27.bin	0	0	0	1
v4_0465200_073586c3f87effef.bin	0	0	0	1
v4_0465200_58eecd3e8a22ffe3.bin	0	0	0	1
v4_0465950_1f9f71058e3457c4.bin	0	0	0	1
v4_0465950_33faa00d02ec1480.bin	0	0	0	1
v4_0466700_540c06df273bf800.bin	0	0	0	1
v4_0466700_7d30c8ed7038efd7.bin	0	0	0	1
v4_0466700_9cabfa59609536fc.bin	0	0	0	1
v4_0467200_2c859fcbec07e10d.bin	0	0	0	1
v4_0467700_2ec49b5e0d8ba182.bin	0	0	0	1
v4_0469450_5563e86b9f039cfa.bin	0	0	0	1
v4_0469700_50fd3c965d6f2370.bin	0	0	0	1
v4_0469700_f28e9e488c0a6bc4.bin	0	0	0	1
v4_0469950_f7b26a424e07c71f.bin	0	0	0	1
v4_0471450_0c00443110fcc98d.bin	0	0	0	1
v4_0471700_6198ac44cd4d8501.bin	0	0	0	1
v4_0471700_97030953bb190cfe.bin	0	0	0	1
v4_0472450_4aa517711fa2d35d.bin	0	0	0	1
v4_0473450_3560d0fcf913e964.bin	0	0	0	1
v4_0473450_aac6684acdfb833d.bin	0	0	0	1
v4_0473700_b6d90a6785d2935e.bin	0	0	0	1
v4_0475200_18facaae2f69efec.bin	0	0	0	1
v4_0476700_5d24e10159352c20.bin	0	0	0	1
v4_0476700_6bb26f32b3c4862e.bin	0	0	0	1
v4_0477450_56c34f7fbcb18f77.bin	0	0	0	1
v4_0477450_80ae1dbad2d57caf.bin	0	0	0	1
v4_0477700_c657608202ff13fb.bin	0	0	0	1
v4_0480200_0641e51bd370ac36.bin	0	0	0	1
v4_0480200_91f217f465cf1bd9.bin	0	0	0	1
v4_0480450_1a517ee8685cbe1c.bin	0	0	0	1
v4_0480950_500c733011366c8c.bin	0	0	0	1
v4_0482200_72a45c19df920647.bin	0	0	0	1
v4_0482200_95eb3dd1b694bba4.bin	0	0	0	1
v4_0482450_a49bc839764a3c28.bin	0	0	0	1
v4_0483450_e1f4cfeac567329e.bin	0	0	0	1
v4_0485450_6b558941f6b32c12.bin	0	0	0	1
v4_0486200_acbe1d55f6adcb4f.bin	0	0	0	1
v4_0486200_e7788aec85a77f22.bin	0	0	0	1
v4_0488450_87a3771ab8c10bdf.bin	0	0	0	1
v4_0489950_260e60e93289c294.bin	0	0	0	1
v4_0489950_d1151448bf5cc504.bin	0	0	0	1
v4_0490200_22b13e2366bd86c0.bin	0	0	0	1
v4_0490200_2e9cbc0b0079386c.bin	0	0	0	1
v4_0490200_b19affd0d114afa0.bin	0	0	0	1
v4_0490450_022f14f8bcc7d456.bin	0	0	0	1
v4_0490450_1e717a75d4d43eff.bin	0	0	0	1
v4_0490950_139f97a3199a6b68.bin	0	0	0	1
v4_0490950_6716d1c14ec94852.bin	0	0	0	1
v4_0491450_8827960e6e950061.bin	0	0	0	1
v4_0491950_38ddef70e7584878.bin	0	0	0	1
v4_0493950_307739cba41dd611.bin	0	0	0	1
v4_0494700_f4ce33c0518ee045.bin	0	0	0	1
v4_0495450_1f168d4f43b61750.bin	0	0	0	1
v4_0495700_e7c2f7e94df91964.bin	0	0	0	1
v4_0496200_ce21cebcc49fc41f.bin	0	0	0	1
v4_0497200_00a3bf97c86715e8.bin	0	0	0	1
v4_0497700_626d4b3e1b57f802.bin	0	0	0	1
v4_0497700_a3b26d397390be91.bin	0	0	0	1
v4_0497700_bcb339dba87dd478.bin	0	0	0	1
v4_0498450_310be469c258a5dd.bin	0	0	0	1
v4_0500200_f4f969862821bf50.bin	0	0	0	1
v4_0501700_4196e36a89f8c5af.bin	0	0	0	1
v4_0502450_b43483e2623cd9bd.bin	0	0	0	1
v4_0503450_1e9c73df286979eb.bin	0	0	0	1
v4_0505200_8233f8db57b110bd.bin	0	0	0	1
v4_0505200_94564f851ce747aa.bin	0	0	0	1
v4_0506200_24b1af584433ad6a.bin	0	0	0	1
v4_0506700_2117963dc7d2615f.bin	0	0	0	1
v4_0507200_9b4115d0d1a82a73.bin	0	0	0	1
v4_0509200_fdbadabc2d994a1c.bin	0	0	0	1
v4_0510450_32aacb26921fa176.bin	0	0	0	1
v4_0510950_8b6ca9fcd597984b.bin	0	0	0	1
v4_0510950_dd2c74cd35eb001f.bin	0	0	0	1
v4_0512200_221905570185a355.bin	0	0	0	1
v4_0513450_dfd788f0cc39e439.bin	0	0	0	1
v4_0513700_68f03cd17dfbfa7d.bin	0	0	0	1
v4_0513700_fa3781ab8ffac45a.bin	0	0	0	1
v4_0514200_2bc6b8d4182cdcd1.bin	0	0	0	1
v4_0514200_bedb2964bb3cc9dc.bin	0	0	0	1
v4_0515200_5c3cb385cecc91df.bin	0	0	0	1
v4_0515700_20cda4bba43de2cd.bin	0	0	0	1
v4_0515700_393ccc18f84462df.bin	0	0	0	1
v4_0515700_984517aecb5ac46f.bin	0	0	0	1
v4_0515700_9f78ec6fd9566c2e.bin	0	0	0	1
v4_0517200_6d2cabc4d19e01f1.bin	0	0	0	1
v4_0517700_ee7205a514c5f62c.bin	0	0	0	1
v4_0517950_a2102615faac6dd4.bin	0	0	0	2
v4_0518700_17c87161914a483b.bin	0	0	0	2
v4_0519700_10721625d93fb7cb.bin	0	0	0	1
v4_0520450_fdb05f68caa30e8f.bin	0	0	0	1
v4_0521200_b376819c556b48cd.bin	0	0	0	1
v4_0522450_a510094728ed51cb.bin	0	0	0	1
v4_0525700_34f3cadd26e7153b.bin	0	0	0	1
v4_0525950_53a230ab08bdbfca.bin	0	0	0	1
v4_0525950_5520a99d9a2582e9.bin	0	0	0	1
v4_0528450_332597f0c48d6d6e.bin	0	0	0	1
v4_0528450_61ecc5ae3cf8282e.bin	0	0	0	1
v4_0528450_802016031d879e89.bin	0	0	0	1
v4_0528700_280a0560d8acd918.bin	0	0	0	1
v4_0530450_d205e32fdcea8d1e.bin	0	0	0	1
v4_0530950_ec2a4e3a6fb0b0cc.bin	0	0	0	1
v4_0531200_6f7d9d86a708addc.bin	0	0	0	1
v4_0531450_65e07daea9936237.bin	0	0	0	1
v4_0531450_a5f419f57ecc19c9.bin	0	0	0	1
v4_0532700_d5a4d5490f4dc0ca.bin	0	0	0	1
v4_0533450_e4cf9a9f42ef3ce4.bin	0	0	0	1
v4_0533450_e6848c416e0f7252.bin	0	0	0	1
v4_0533700_43a773c93d6a1f2a.bin	0	0	0	1
v4_0538200_1b1d966942c3b144.bin	0	0	0	1
v4_0538200_3c13fea1c85e6426.bin	0	0	0	1
v4_0540200_2a9fba24b4d6c979.bin	0	0	0	1
v4_0540200_a662fd25598a3122.bin	0	0	0	1
v4_0540200_b88af814d876e0d2.bin	0	0	0	1
v4_0542200_bdb1815419ce985d.bin	0	0	0	1
v4_0544950_fc9d5e24f4576043.bin	0	0	0	1
v4_0548700_25a5689cba9b36a5.bin	0	0	0	1
v4_0548700_4e10b17688f44787.bin	0	0	0	1
v4_0552450_06e874ffa797c951.bin	0	0	0	1
v4_0552950_72e99bdf0609e45d.bin	0	0	0	1
v4_0552950_921896337bab108e.bin	0	0	0	1
v4_0553450_0abe1f96ebf658fd.bin	0	0	0	1
v4_0553450_20f444e9d4c7accb.bin	0	0	0	1
v4_0554950_4a5c6ae2f6d7297b.bin	0	0	0	2
v4_0555200_7a5a6fdcf9f01178.bin	0	0	0	1
v4_0557200_3ce0ffc48442319f.bin	0	0	0	1
v4_0557700_f715d3a76f67a11d.bin	0	0	0	1
v4_0558450_cb158fcd27710281.bin	0	0	0	1
v4_0558950_0bce6d4fa081069b.bin	0	0	0	1
v4_0559450_18d1ee7e62420851.bin	0	0	0	1
v4_0560450_60c57c4fc28bb17f.bin	0	0	0	1
v4_0563700_f3ba418bf5c2d5b6.bin	0	0	0	1
v4_0565200_5820f91fa92c9821.bin	0	0	0	1
v4_0566450_36c8c65a199853bb.bin	0	0	0	1
v4_0568450_16fc389c209c11ca.bin	0	0	0	1
v4_0568450_312ae8e477c9a3be.bin	0	0	0	1
v4_0568450_64725f9cb9d8262e.bin	0	0	0	1
v4_0568450_6825e36a23d14a40.bin	0	0	0	1
v4_0568450_f21dc1af7aa22691.bin	0	0	0	1
v4_0570200_5e06c63fe807f585.bin	0	0	0	1
v4_0570200_b9a6da30dc98582c.bin	0	0	0	1
v4_0570200_d91e656bb21eb3a7.bin	0	0	0	1
v4_0572200_3e9020a0d7eb3945.bin	0	0	0	1
v4_0573200_c06b494d85312e96.bin	0	0	0	1
v4_0573700_99ec6fb2634f5784.bin	0	0	0	1
v4_0575200_0c91fb5a60411add.bin	0	0	0	1
v4_0575450_c5484d874fd165e0.bin	0	0	0	1
v4_0576200_6f895f38940a4723.bin	0	0	0	19
v4_0577700_6d38bbd5b45640c8.bin	0	0	0	1
v4_0577700_fee8658148948e06.bin	0	0	0	1
v4_0578200_46716b634ebb36cc.bin	0	0	0	1
v4_0579200_181fd7d755ab8722.bin	0	0	0	1
v4_0579700_b4ff5d87977e251a.bin	0	0	0	1
v4_0580450_8c2b609636225192.bin	0	0	0	1
v4_0583700_56eafe6ceb9a6cb3.bin	0	0	0	1
v4_0583700_deabec2ce6c27da6.bin	0	0	0	1
v4_0583950_14027688d95f9961.bin	0	0	0	1
v4_0585700_e531bf2c7865bf62.bin	0	0	0	1
v4_0585700_fcf06ece6c807cc4.bin	0	0	0	1
v4_0588200_32d096c444a46bdf.bin	0	0	0	1
v4_0589450_c6e2f3a0794eefda.bin	0	0	0	1
v4_0593200_cd3e41c5e22c6abb.bin	0	0	0	1
v4_0593450_83eed6302de71b67.bin	0	0	0	6
v4_0593450_8b48e3d9aa06a868.bin	0	0	0	1
v4_0593450_e72104717a2fa8ce.bin	0	0	0	1
v4_0593950_9a0686d62294a3b4.bin	0	0	0	1
v4_0594200_6847075c0a54414b.bin	0	0	0	1
v4_0594200_7ad30f03c30b2103.bin	0	0	0	1
v4_0594700_602817c16465af6a.bin	0	0	0	1
v4_0594950_7eda628bc17b7282.bin	0	0	0	1
v4_0595200_84b7c317cb6bf5fc.bin	0	0	0	1
v4_0595450_4e56667bdb8335a1.bin	0	0	0	1
v4_0597700_2ee7a0b31e6fbd9e.bin	0	0	0	1
v4_0597700_4a119069255ceaa0.bin	0	0	0	1
v4_0598450_0411c1ed90e3de01.bin	0	0	0	1
v4_0600450_41198fdb8f86f9a0.bin	0	0	0	1
v4_0600450_ce1cfbd4a2b076b7.bin	0	0	0	1
v4_0600450_ddc53d4c6783cf9f.bin	0	0	0	1
v4_0602950_40cb0af00e168aaf.bin	0	0	0	1
v4_0602950_580de49c8c6b8e2b.bin	0	0	0	1
v4_0602950_a4719ae15468dacc.bin	0	0	0	1
v4_0602950_ae7fe4409b25e766.bin	0	0	0	1
v4_0603200_5c36a846afadc6fb.bin	0	0	0	7
v4_0603200_761fab177436aa05.bin	0	0	0	1
v4_0603200_95dfc12fa0133d50.bin	0	0	0	1
v4_0603200_a5e858532c8ae583.bin	0	0	0	1
v4_0603450_b5d6e53a28723f05.bin	0	0	0	1
v4_0603700_c6b9c4cbb83ca439.bin	0	0	0	1
v4_0604700_f7d739c650d43958.bin	0	0	0	1
v4_0607450_e2a0d697406e4cb2.bin	0	0	0	1
v4_0607950_3890674075a04557.bin	0	0	0	1
v4_0612700_1aa02603762c7aa8.bin	0	0	0	1
v4_0615450_6186c49642b5075b.bin	0	0	0	1
